MACHINE_TYPE,OPERATION,NORMALIZED_MILESTONE,NOTIFICATION_NUMBER,NOTIFICATION_DESCRIPTION,CAUSE_TEXT,BREAKDOWN_DURATION_MIN,Air_Issue_number,Air_Issue_Summary,Air_Issue_Status,ME_FUNCTIONAL_CLUSTER,B_CODE,Issue_Functional_cluster,Issue_Owner,Initiator,Solver,Leading_issue,Issue_Ownership_FC,FC_Match,Combined_FC,Artificial_Issue_Owner,Final_FC_score,Final_FC_topk,Artificial_Issue_Owner_Confidence,Order_number,Order_type,Variable_1_desc,Variable_3_desc,CC_Variable_1_desc_active,Equipment_affected_description,Bucketing_App_Owner,Order_number_norm,Functional_Cluster_Final_Owner,Final_Owner_Tier,BREAKDOWN_DURATION_HRS
NXT1980FI,M12236877_T,MS03-06,210814024,WBST wafers damaged during SP2,Wafers damaged,108.4,,,,001,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-001,MOID,1.8066666666666669
NXT1980FI,M5888167_T,MS02B,211181272,INIT WP failed on WP-2C1D init,MPAC3 NOK,27.13333333,P487604,[ Type5 ] High failure rates on MPAC3 PPCA & MPAC2+ MK2 PPCA,Open,003,B2 - Materials quality/ Upstream quality,FC-041,shoroy,roemoone,okusakog,,,FALSE,FC-041,,,,,,,,,,,,,FC-041,Official_AIR,0.4522222222222217
NXT1980FI,M3151397_T,MS03-06,210969317,Initializarion - Failed - CN-00C0,Board connection issues,216.5166667,,,,003,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-003,MOID,3.6086111111111165
NXT1980FI,M32874228_T,MS,210917281,EXPOSE E0 FEM FOR SS - Failed - LO-0058,IH related (no clear rootcause),879.6333333,P758582,SSCF E0 test fails on IH2SS_WSR gap too small IH-121E,Closed,009,B8 - Design (HW/SW),,peijnde,peijnde,,,FC-009 Dose Control; FC-010 Illumination; FC-011 Reticle Masking,FALSE,FC-009 Dose Control; FC-010 Illumination; FC-011 Reticle Masking,FC-009,0.12017591568744748,FC-009:0.120; FC-010:0.112; FC-011:0.048,Low,,,,,,,,,FC-009,Artificial_Issue_Owner,14.66055555555555
NXT1980FI,M300722_T,MS,210949096,SZDR - OOS - Camera Position WRT Grating,SZDR not robust enough with LSUv2 ret.,0,P592959,The first run of SZDR in the sequence being NOK on camera grating position when using the LSUv2 reticle,Open,008,B8 - Design (HW/SW),,vpavelye,pavernoo,rstaal,,,FALSE,,,,,NoEvidence,210949096,Disturbance notif.,FC-008 ZK,7. Structural - added to AIR,FC-008 ZK,NXT4:1980FI,FC-008,210949096,FC-008,Bucketing_App_Owner,0
NXT1980FI,M301593_T,MS10,210839607,CN-00AF - Hosts not responding,Software hiccup showing K7 relay NOK,152.6333333,,,,015,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-015,MOID,2.5438888888888838
NXT1980FI,M20916135_T,MS,211157917,MK2 roughness puck batch issue,Roughness stone NOK,280.7333333,P815240,Incomplete process step run-in during the production of MK2 roughness stones caused NOK Stones to be manufactured.,Open,063,B2 - Materials quality/ Upstream quality,,wstrohfe,wstrohfe,,,FC-003 Wafer Positioning; FC-048 Wafer clamping; FC-050 Wafer table cleaning,FALSE,FC-003 Wafer Positioning; FC-048 Wafer clamping; FC-050 Wafer table cleaning,FC-003,0.23121248236437042,FC-003:0.231; FC-048:0.103,High,,,,,,,,,FC-003,Artificial_Issue_Owner,4.678888888888883
NXT1980FI,M23449189_T,MS,210893631,Startup drivers - Failed -  GF-C885,EMO checks by D&E,164.7166667,,,,IC03,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,IC-003,MOID,2.7452777777777837
NXT1980FI,NON EXECUTION- DN CREATION STEP,MS14C,211231943,Process is not followed,process not followed,0,,,,IC16,B3 - Procedure / process is not followed,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,IC-016,MOID,0
NXT1980FI,M5096190_T,MS12-13,210827329,Finish after GPAS,ODR for GPAS swap,23.63333333,,,,IC16,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,IC-016,MOID,0.39388888888888834
NXT1980FI,M1350047_T,MS14A,210924087,Power supply set for N2 NOK,"N2 X1 plug, pin stuck inside",0,P699157,B4 - Tooling not available / Defect / incomplete NXT 2023,Open,057,B4 - Defect/Incompl/Calibrate Toolcabin,,roverhap,thvander,,,FC-014 Thermal architecture; FC-057 EC&I Infrastructure,FALSE,FC-014 Thermal architecture; FC-057 EC&I Infrastructure,FC-057,0.05674128,FC-057:0.057; FC-014:0.008,Low,,,,,,,,,FC-057,Artificial_Issue_Owner,0
NXT1980FI,M12236877_T,MS11,210813744,RHC 8LDCO failing on KN error,Preparation of NPI/D&E datagather proc,3877.233333,P671050,Long KV actions resulting in many KN-020E wafer rejects and delayed PARIS conditioning scans,Closed,001,B8 - Design (HW/SW),FC-062,badhimoo,tgoossen,,,,FALSE,FC-062,,,,,,,,,,,,,FC-062,Official_AIR,64.62055556
NXT1980FI,NON EXECUTION- DN CREATION STEP,MS14C,211044046,Missing RCWC filters,Missing RCWC filters,0,,,,IC16,B1 - Material Availability,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,IC-016,MOID,0
NXT1980FI,M320837_T,MS,210895298,GFHA does not init,ft-xchagu-0 not reachable,145.7666667,,,,012,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-012,MOID,2.429444444
NXT1980FI,M281066_T,MS02B,211116061,TCNTDT.01 - OOS - CtPuTempXcdaLtmeGl,Dummy CTCP-TOP-RC X5,168.0666667,,,,014,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,211116061,Disturbance notif.,FC-057 CT,5. Incident,FC-057 CT,NXT4:1980FI,FC-057,211116061,FC-057,Bucketing_App_Owner,2.801111111111117
NXT1980FI,M298313_T,MS,211010737,LUMS.02 - OOC - Std. Dev. Curvature Offs,Internal misalignment FPSM,1723.416667,,,,010,B2 - Materials quality/ Upstream quality,,,,,,,FALSE,,,,,NoEvidence,211010737,Disturbance notif.,FC-010 IL,6. Incident - Solved,FC-010 IL,NXT4:1980FI,FC-010,211010737,FC-010,Bucketing_App_Owner,28.723611111111165
NXT1980FI,M16856394_2222_T,MS10,210808933,Init Drivers - Failed -  CN-00C0,Drivers not initing,62.7,,,,065,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-065,MOID,1.0450000000000002
NXT1980FI,M916506_T,MS03-06,211202240,Init Drivers NOK - CFRI_stages - PG-2553,Procedure issue,221.4,,,,065,B7 - Procedure issue,,,,,,,FALSE,,,,,NoEvidence,211202240,Disturbance notif.,FC-003 WS,,FC-003 WS,NXT4:1980FI,FC-003,211202240,FC-003,Bucketing_App_Owner,3.69
NXT1980FI,M17155881_T,MS,210799749,CT-8014 is not stable,PT communication error,67.51666667,,,,IC03,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,IC-003,MOID,1.1252777777777783
NXT1980FI,M39146115_T,MS,210908090,redundant,redundant,0,,,,009,B0 - Undefined,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-009,MOID,0
NXT1980FI,M5757382_T,MS02B,210875997,PWRM.01 - Failed - PW-67A6,PM no with G NOK,6.266666667,,,,003,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-003,MOID,0.1044444444444445
NXT1980FI,NON EXECUTION- DN CREATION STEP,MS14C,211211773,2 Operators to Q4 meeting,Operators need to go to Q4 meeting,134.5,P804089,B3 - No manpower - Fixed NXT Prepack 2024,Open,IC16,B3 - No manpower,,micwille,mthijss2,,,IC-016 Sequence integration; None No functions,FALSE,IC-016 Sequence integration; None No functions,IC-016,0.020272503106151453,IC-016:0.020,Low,,,,,,,,,IC-016,Artificial_Issue_Owner,2.2416666666666667
NXT1980FI,M4041154_P,MS14C,211175103,Missing parts WH 2,Unknown,0,,,,004,B1 - Material Availability,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-004,MOID,0
NXT1980FI,M4933040_T,MS12-13,210825523,Machine in Dry Mode after IMGO queue,MCs changed to DRY,0,P744281,B3 - TF FAB NXT EXE Work Center SP Workmanship issues '24,Open,IC01,B3 - Procedure / process is not followed,,ppreez,mbourzgu,,,FC-028 Lot - Production Control; IC-004 Overlay Performance; IC-005 Productivity,FALSE,FC-028 Lot - Production Control; IC-004 Overlay Performance; IC-005 Productivity,IC-005,0.03086543,IC-005:0.031; FC-028:0.005,Low,,,,,,,,,IC-005,Artificial_Issue_Owner,0
NXT1980FI,M7552976_T,MS,211043168,Dysent - OOS -  Frequency Dependent Sens,Dysent specs giving false NOK,294.8666667,P791006,DYSENT False NOK on Frequency Dependent Sensitivity Improvement Verification,Open,032,B8 - Design (HW/SW),FC-032,trchrist,trchrist,,,FC-031 Stage Position Measurement; FC-032 System Dynamics,TRUE,FC-032 | FC-031 Stage Position Measurement; FC-032 System Dynamics,,,,,211043168,Disturbance notif.,FC-032 AM/DY,7. Structural - added to AIR,FC-032 AM/DY,NXT4:1980FI,FC-032,211043168,FC-032,Official_AIR,4.914444444444451
NXT1980FI,NON EXECUTION- DN CREATION STEP,MS14C,211032135,Missing RCWC filter,Missing RCWC filter,0,,,,IC16,B1 - Material Availability,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,IC-016,MOID,0
NXT1980FI,M38747486_T,MS02B,211174295,MYCONFIG fails CARM/CAS inconsistency,BoM LENS ASSY NOK: duplicated parts,0,,,,024,B2 - Materials quality/ Upstream quality,,,,,,,FALSE,,,,,NoEvidence,211174295,Disturbance notif.,FC-012 PR/IC,5. Incident,FC-012 PR/IC,NXT4:1980FI,FC-012,211174295,FC-012,Bucketing_App_Owner,0
NXT1980FI,M23863568_T,MS12-13,210875450,Redo FWCDU DL,Process lab DEV issues,31.55,,,,IC03,B9 - Process Lab,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,IC-003,MOID,0.5258333333333334
NXT1980FI,M300722_T,MS,210900873,SZDR - FB - OK with SOMO reticle,SZDR NOK with LSUv2 reticle,38.46666667,P592959,The first run of SZDR in the sequence being NOK on camera grating position when using the LSUv2 reticle,Open,008,B8 - Design (HW/SW),,vpavelye,pavernoo,rstaal,,,FALSE,,,,,NoEvidence,210900873,Disturbance notif.,FC-008 ZK,7. Structural - added to AIR,FC-008 ZK,NXT4:1980FI,FC-008,210900873,FC-008,Bucketing_App_Owner,0.6411111111111116
NXT1980FI,M6320943_T,MS02B,211101087,scratches on left side ELEC,known issue,0,,,,IC16,B3 - Logging redundant or unnecessary,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,IC-016,MOID,0
NXT1980FI,NON EXECUTION- DN CREATION STEP,MS14C,210860346,Material missing used at 5b05,Missing Material,0,,,,IC16,B1 - Material Availability,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,IC-016,MOID,0
NXT1980FI,M25275314_34985136_T_CH1,MS,211107826,Tool not available,Tool not available,14.06666667,,,,005,B4 - Availability Toolcabin,,,,,,,FALSE,,,,,NoEvidence,211107826,Disturbance notif.,FC-005 AL/WA,6. Incident - Solved,FC-005 AL/WA,NXT4:1980FI,FC-005,211107826,FC-005,Bucketing_App_Owner,0.234444444
NXT1980FI,NON EXECUTION- DN CREATION STEP,MS14C,211166948,5x CA needed for PPL,PPL asked for CA's,0,,,,IC16,B1 - Material Availability,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,IC-016,MOID,0
NXT1980FI,M309255_T,MS09,210566607,EMBIEX - Failed -  GT-0F01,ZJD,96.51666667,,,,064,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-064,MOID,1.6086111111111117
NXT1980FI,M16247804_T,MS,211022525,SPC PZRE CH2 - OOC - Contribution to ove,Rerun required,0,,,,IC03,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,211022525,Disturbance notif.,FC-008 ZK,5. Incident,FC-008 ZK,NXT4:1980FI,FC-008,211022525,FC-008,Bucketing_App_Owner,0
NXT1980FI,M30463950_T,MS,210814437,HIDM.01 - OOC - SPC check,MFC press stability NOK,400.4666667,,,,IC16,B2 - Materials quality/ Upstream quality,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,IC-016,MOID,6.6744444444444495
NXT1980FI,M28216793 _T,MS03-06,211186313,init after change CM - Failed - PG-2553,settings not correct in procedure,321.8666667,,,,003,B7 - Procedure issue,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-003,MOID,5.364444444
NXT1980FI,M307874_T,MS03-06,211133549,SHB WH PLC shows blue striped in MBDS,"Unknown, SHB SHB partial blue",0.2,,,,061,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,211133549,Disturbance notif.,FC-001 WH,,FC-001 WH,NXT4:1980FI,FC-001,211133549,FC-001,Bucketing_App_Owner,0.003333333
NXT1980FI,M4637622_T,MS02B,210697464,HP CO2 leak test NOK,coupling ferrule front/back is leaking,157.7666667,,,,057,B2 - Materials quality/ Upstream quality,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-057,MOID,2.629444444
NXT1980FI,NON EXECUTION- DN CREATION STEP,MS14C,211060272,One operator is given training,One operator is given training,0,P745976,B3 - Training / Skills / Material damaged - Prepack NXT 2024,Open,IC16,B3 - Giving training,,jhoog,mhamblok,micwille,P748535,"FC-019 Install, Handling and Transport; FC-020 Mechanical System Layout; FC-033 Mechanical constructions",FALSE,"FC-019 Install, Handling and Transport; FC-020 Mechanical System Layout; FC-033 Mechanical constructions",FC-019,0.12303314969145346,FC-019:0.123; FC-033:0.070,High,,,,,,,,,FC-019,Artificial_Issue_Owner,0
NXT1980FI,M301671_T,MS03-06,211140723,SAPT - MQ NOK,SAPT run before BMAA coarse and fine,0,P744281,B3 - TF FAB NXT EXE Work Center SP Workmanship issues '24,Open,015,B3 - Procedure / process is not followed,,ppreez,mbourzgu,,,FC-028 Lot - Production Control; IC-004 Overlay Performance; IC-005 Productivity,FALSE,FC-028 Lot - Production Control; IC-004 Overlay Performance; IC-005 Productivity,IC-005,0.044211224,IC-005:0.044; FC-028:0.007,Low,211140723,Disturbance notif.,FC-005 AL/WA,7. Structural - added to AIR,FC-005 AL/WA,NXT4:1980FI,FC-005,211140723,FC-005,Bucketing_App_Owner,0
NXT1980FI,M456498_T,MS,211151053,ODDP - OOS - Dose Acc + DSP,Logging redundant,28.26666667,P744281,B3 - TF FAB NXT EXE Work Center SP Workmanship issues '24,Open,008,B3 - Logging redundant or unnecessary,,ppreez,mbourzgu,,,FC-028 Lot - Production Control; IC-004 Overlay Performance; IC-005 Productivity,FALSE,FC-028 Lot - Production Control; IC-004 Overlay Performance; IC-005 Productivity,IC-005,0.018559298045590474,IC-005:0.019; FC-028:0.003,Low,211151053,Disturbance notif.,FC-010 IL,7. Structural - added to AIR,FC-010 IL,NXT4:1980FI,FC-010,211151053,FC-010,Bucketing_App_Owner,0.4711111111111117
NXT1980FI,M456498_T,MS,211151053,ODDP - OOS - Dose Acc + DSP,Logging redundant,28.26666667,P480596,B0 -[Data Gathering] Work Center SP Insufficient info DN/MN,Open,008,B3 - Logging redundant or unnecessary,,aboomen,aboomen,,,,FALSE,,,,,NoEvidence,211151053,Disturbance notif.,FC-010 IL,7. Structural - added to AIR,FC-010 IL,NXT4:1980FI,FC-010,211151053,FC-010,Bucketing_App_Owner,0.4711111111111117
NXT1980FI,M4474079_T,MS03-06,211015911,init system - Failed - MI-FD47,SPM encoders wet,2.183333333,,,,057,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,211015911,Disturbance notif.,FC-031 SP/IF/PC,5. Incident,FC-031 SP/IF/PC,NXT4:1980FI,FC-031,211015911,FC-031,Bucketing_App_Owner,0.036388889
NXT1980FI,NON EXECUTION- DN CREATION STEP,MS14C,210932241,ENC FCP Bolt stuck,Bolt stuck in FCP,0,,,,IC16,B2 - Materials quality/ Upstream quality,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,IC-016,MOID,0
NXT1980FI,M326169_T,MS02B,211177242,QRDC.01 - Failed - RQ-C000,RCXU CDA pressure NOK,64.55,,,,004,B2 - Materials quality/ Upstream quality,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,FC-004,MOID,1.0758333333333332
NXT1980FI,M2699543_P_NXT_5L,MS14C,211039790,New seal bag needed BSM mirror,New seal bag needed BSM mirror,0,P745977,B3 - Procedure is not followed  - Prepack NXT 2024,Open,009,B3 - Material damaged contaminated lost,,jhoog,mhamblok,micwille,P748535,"FC-019 Install, Handling and Transport; FC-020 Mechanical System Layout; FC-033 Mechanical constructions",FALSE,"FC-019 Install, Handling and Transport; FC-020 Mechanical System Layout; FC-033 Mechanical constructions",FC-019,0.17750582732791156,FC-019:0.178; FC-033:0.110,High,,,,,,,,,FC-019,Artificial_Issue_Owner,0
NXT1980FI,NON EXECUTION- DN CREATION STEP,MS14C,211217505,2 Operators are giving training,2 operators are giving training,0,P745976,B3 - Training / Skills / Material damaged - Prepack NXT 2024,Open,IC16,B3 - Giving training,,jhoog,mhamblok,micwille,P748535,"FC-019 Install, Handling and Transport; FC-020 Mechanical System Layout; FC-033 Mechanical constructions",FALSE,"FC-019 Install, Handling and Transport; FC-020 Mechanical System Layout; FC-033 Mechanical constructions",FC-019,0.12950229273865352,FC-019:0.130; FC-033:0.081,High,,,,,,,,,FC-019,Artificial_Issue_Owner,0
NXT1980FI,M2839554_T,MS02B,211032755,CO2 Pressure too low,Software hiccup,1035.633333,P705899,B3 - [Data Gathering] - Work Center SP contamination issues without clear root cause,Open,057,B8 - Design (HW/SW),,robibakk,robibakk,,,,FALSE,,,,,NoEvidence,211032755,Disturbance notif.,FC-057 CT,7. Structural - added to AIR,FC-057 CT,NXT4:1980FI,FC-057,211032755,FC-057,Bucketing_App_Owner,17.260555555555502
NXT1980FI,NON EXECUTION- DN CREATION STEP-5L,MS14C,210930697,WH Transporttool incomplete,WH Transporttool incomplete,1638.366667,,,,IC16,B2 - Materials quality/ Upstream quality,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,IC-016,MOID,27.306111111111168
NXT1980FI,M36732716_T,MS03-06,210664271,LEAK TEST TOOL MK5 not available,Tool not available,296.0166667,,,,010,B4 - Availability Toolcabin,,,,,,,FALSE,,,,,NoEvidence,210664271,Disturbance notif.,FC-057 CT,,FC-057 CT,NXT4:1980FI,FC-057,210664271,FC-057,Bucketing_App_Owner,4.933611111111117
NXT1980FI,M292540_T,MS,211200392,MROC - Failed - OU-4025,MROC failed due to Hyper NA errors,302.5666667,,,,011,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,211200392,Disturbance notif.,FC-009 DC,,FC-009 DC,NXT4:1980FI,FC-009,211200392,FC-009,Bucketing_App_Owner,5.042777777777784
NXT1980FI,M2913736_T,MS,211200435,MAFF.06 - OOS - x - Av Rel Image Err Imp,ODR 211197914 written previously,93.96666667,,,,032,B8 - Design (HW/SW),,,,,,,FALSE,,,,,NoEvidence,211200435,Disturbance notif.,FC-032 AM/DY,7. Structural - added to AIR,FC-032 AM/DY,NXT4:1980FI,FC-032,211200435,FC-032,Bucketing_App_Owner,1.5661111111111117
NXT1980FI,NON EXECUTION- DN CREATION STEP,MS14C,211081194,2 operators had meeting (variable),2 operators had meeting (variable),112.3333333,P804094,B3 - No manpower - Variable NXT Prepack 2024,Open,IC16,B3 - No manpower,,micwille,mthijss2,,,IC-016 Sequence integration; None No functions,FALSE,IC-016 Sequence integration; None No functions,IC-016,0.020184470232854898,IC-016:0.020,Low,,,,,,,,,IC-016,Artificial_Issue_Owner,1.8722222222222167
NXT1980FI,M17155881_T,MS,211222737,Waiting for UPDT results,Waiting for results,114.3333333,P480554,B9 - {DATA GATHERING} Servicelab related disturbances ,Open,IC03,B9 - Process Lab,,mkandela,jvanbrie,,,,FALSE,,,,,NoEvidence,,,,,,,,,IC-003,MOID,1.9055555555555501
NXT1980FI,NON EXECUTION- DN CREATION STEP,MS14C,210858694,WS2RC CA arrived broken,WS2RC CA arrived broken,0,,,,IC16,B2 - Materials quality/ Upstream quality,,,,,,,FALSE,,,,,NoEvidence,,,,,,,,,IC-016,MOID,0
